,gamma-disparity,racePctWhite,racepctblack
0,-0.00505245156981,-1.0,-1.0
1,-0.00423326167375,-0.9,-1.0
2,-0.00402643487692,-0.8,-1.0
3,0.00150612843136,-0.7,-1.0
4,0.00201000872924,-0.6,-1.0
5,0.00206065031558,-0.5,-1.0
6,0.00231360617999,-0.4,-1.0
7,0.00166636696056,-0.3,-1.0
8,0.00149914913948,-0.2,-1.0
9,0.0022670187476,-0.1,-1.0
10,0.00177352041952,0.0,-1.0
11,0.00149443666755,0.1,-1.0
12,0.00118625412026,0.2,-1.0
13,0.000635611192187,0.3,-1.0
14,0.000689614200504,0.4,-1.0
15,0.000249121389683,0.5,-1.0
16,-0.00040237944521,0.6,-1.0
17,-0.000143959518527,0.7,-1.0
18,0.000398419452191,0.8,-1.0
19,0.000337363116991,0.9,-1.0
20,-0.00410698315713,-1.0,-0.9
21,-0.00505245156981,-0.9,-0.9
22,-0.00466379627899,-0.8,-0.9
23,-0.00264413799513,-0.7,-0.9
24,0.00217720733071,-0.6,-0.9
25,0.00222033587474,-0.5,-0.9
26,0.00198175897288,-0.4,-0.9
27,0.00210579959226,-0.3,-0.9
28,0.00133878504756,-0.2,-0.9
29,0.00185585040913,-0.1,-0.9
30,0.00177352041952,0.0,-0.9
31,0.00116498581499,0.1,-0.9
32,0.000997109018409,0.2,-0.9
33,0.000652113365255,0.3,-0.9
34,0.000592321489628,0.4,-0.9
35,-0.000328635045818,0.5,-0.9
36,-0.00017617850895,0.6,-0.9
37,0.000248785717535,0.7,-0.9
38,0.000481678229231,0.8,-0.9
39,7.50727465884e-05,0.9,-0.9
40,-0.00365758378964,-1.0,-0.8
41,-0.00450140124484,-0.9,-0.8
42,-0.00505245156981,-0.8,-0.8
43,-0.00483709751686,-0.7,-0.8
44,-0.00133845963831,-0.6,-0.8
45,0.00235728639675,-0.5,-0.8
46,0.00206065031558,-0.4,-0.8
47,0.00215393784116,-0.3,-0.8
48,0.00145820313527,-0.2,-0.8
49,0.00195622118837,-0.1,-0.8
50,0.00177352041952,0.0,-0.8
51,0.00144079624593,0.1,-0.8
52,0.00100059898867,0.2,-0.8
53,0.000813913933509,0.3,-0.8
54,0.000249121389683,0.4,-0.8
55,-0.000326885129165,0.5,-0.8
56,0.000248785717535,0.6,-0.8
57,0.000393253120453,0.7,-0.8
58,7.50727465884e-05,0.8,-0.8
59,0.000265211998504,0.9,-0.8
60,-0.00453520565239,-1.0,-0.7
61,-0.00438230511876,-0.9,-0.7
62,-0.0045174744645,-0.8,-0.7
63,-0.00505245156981,-0.7,-0.7
64,-0.00384678224077,-0.6,-0.7
65,0.00148025748934,-0.5,-0.7
66,0.00222026700228,-0.4,-0.7
67,0.00244668140673,-0.3,-0.7
68,0.0012267606416,-0.2,-0.7
69,0.00195622118837,-0.1,-0.7
70,0.00177352041952,0.0,-0.7
71,0.00160949968971,0.1,-0.7
72,0.00098379858747,0.2,-0.7
73,0.000310235063802,0.3,-0.7
74,-0.00051789566076,0.4,-0.7
75,7.99568976241e-05,0.5,-0.7
76,0.000639271508715,0.6,-0.7
77,7.50727465884e-05,0.7,-0.7
78,0.000109291570672,0.8,-0.7
79,-8.96462420571e-05,0.9,-0.7
80,-0.00196206389367,-1.0,-0.6
81,-0.00371467723511,-0.9,-0.6
82,-0.00471062307226,-0.8,-0.6
83,-0.0045385582154,-0.7,-0.6
84,-0.00505245156981,-0.6,-0.6
85,-0.0042361130699,-0.5,-0.6
86,0.00217720733071,-0.4,-0.6
87,0.00206065031558,-0.3,-0.6
88,0.00210579959226,-0.2,-0.6
89,0.0018061182129,-0.1,-0.6
90,0.00177352041952,0.0,-0.6
91,0.00109419310376,0.1,-0.6
92,0.000652113365255,0.2,-0.6
93,0.000249121389683,0.3,-0.6
94,-0.00017617850895,0.4,-0.6
95,0.000398419452191,0.5,-0.6
96,7.50727465884e-05,0.6,-0.6
97,0.000109291570672,0.7,-0.6
98,1.75431592439e-05,0.8,-0.6
99,-0.000250208261212,0.9,-0.6
100,-0.000644301606094,-1.0,-0.5
101,-0.0021759726202,-0.9,-0.5
102,-0.00181954617396,-0.8,-0.5
103,-0.00433353280074,-0.7,-0.5
104,-0.0043898216709,-0.6,-0.5
105,-0.00505245156981,-0.5,-0.5
106,-0.00402643487692,-0.4,-0.5
107,0.00201000872924,-0.3,-0.5
108,0.00231360617999,-0.2,-0.5
109,0.00149914913948,-0.1,-0.5
110,0.00177352041952,0.0,-0.5
111,0.00118625412026,0.1,-0.5
112,0.000689614200504,0.2,-0.5
113,-0.00040237944521,0.3,-0.5
114,0.000398419452191,0.4,-0.5
115,7.50727465884e-05,0.5,-0.5
116,-0.000213243868743,0.6,-0.5
117,1.75431592439e-05,0.7,-0.5
118,-0.000395777134735,0.8,-0.5
119,-0.000939348013921,0.9,-0.5
120,-0.00120621768744,-1.0,-0.4
121,7.8858039391e-05,-0.9,-0.4
122,-0.000644301606094,-0.8,-0.4
123,-0.00224158194818,-0.7,-0.4
124,-0.00371467723511,-0.6,-0.4
125,-0.00365758378964,-0.5,-0.4
126,-0.00505245156981,-0.4,-0.4
127,-0.00133845963831,-0.3,-0.4
128,0.00206065031558,-0.2,-0.4
129,0.00145820313527,-0.1,-0.4
130,0.00177352041952,0.0,-0.4
131,0.00100059898867,0.1,-0.4
132,0.000249121389683,0.2,-0.4
133,0.000248785717535,0.3,-0.4
134,7.50727465884e-05,0.4,-0.4
135,-8.96462420571e-05,0.5,-0.4
136,-0.000250208261212,0.6,-0.4
137,-0.000815711939148,0.7,-0.4
138,-0.000368097595408,0.8,-0.4
139,-0.000436393482361,0.9,-0.4
140,-0.000851978134972,-1.0,-0.3
141,-0.000969173555393,-0.9,-0.3
142,-0.00130424393307,-0.8,-0.3
143,-0.000272360783627,-0.7,-0.3
144,-0.000644301606094,-0.6,-0.3
145,-0.00196206389367,-0.5,-0.3
146,-0.00471062307226,-0.4,-0.3
147,-0.00505245156981,-0.3,-0.3
148,0.00217720733071,-0.2,-0.3
149,0.00210579959226,-0.1,-0.3
150,0.00177352041952,0.0,-0.3
151,0.000652113365255,0.1,-0.3
152,-0.00017617850895,0.2,-0.3
153,7.50727465884e-05,0.3,-0.3
154,1.75431592439e-05,0.4,-0.3
155,-0.000566474058959,0.5,-0.3
156,-0.000368097595408,0.6,-0.3
157,-0.000588998631259,0.7,-0.3
158,-0.000342519861143,0.8,-0.3
159,-0.00068957887127,0.9,-0.3
160,-0.00144686195369,-1.0,-0.2
161,-0.0011324186237,-0.9,-0.2
162,-0.00110738636,-0.8,-0.2
163,-0.000772151154029,-0.7,-0.2
164,-0.000969173555393,-0.6,-0.2
165,-0.00120621768744,-0.5,-0.2
166,-0.000644301606094,-0.4,-0.2
167,-0.00371467723511,-0.3,-0.2
168,-0.00505245156981,-0.2,-0.2
169,0.00206065031558,-0.1,-0.2
170,0.00177352041952,0.0,-0.2
171,0.000249121389683,0.1,-0.2
172,7.50727465884e-05,0.2,-0.2
173,-0.000250208261212,0.3,-0.2
174,-0.000368097595408,0.4,-0.2
175,-0.000512073188026,0.5,-0.2
176,-0.00068957887127,0.6,-0.2
177,-0.000498972217858,0.7,-0.2
178,-0.000597194551408,0.8,-0.2
179,-0.000596257740265,0.9,-0.2
180,8.46066192909e-05,-1.0,-0.1
181,-0.000371140121285,-0.9,-0.1
182,-0.000368409596259,-0.8,-0.1
183,-0.00069490341151,-0.7,-0.1
184,-0.00147850421392,-0.6,-0.1
185,-0.00144686195369,-0.5,-0.1
186,-0.00110738636,-0.4,-0.1
187,-0.000969173555393,-0.3,-0.1
188,-0.000644301606094,-0.2,-0.1
189,-0.00505245156981,-0.1,-0.1
190,0.00177352041952,0.0,-0.1
191,7.50727465884e-05,0.1,-0.1
192,-0.000368097595408,0.2,-0.1
193,-0.00068957887127,0.3,-0.1
194,-0.000597194551408,0.4,-0.1
195,-0.00061373249799,0.5,-0.1
196,-0.000483672651548,0.6,-0.1
197,-0.000624336643879,0.7,-0.1
198,-0.000691904514038,0.8,-0.1
199,-0.000720904012534,0.9,-0.1
200,0.000169851688304,-1.0,0.0
201,0.000169851688304,-0.9,0.0
202,0.000169851688304,-0.8,0.0
