,gamma-disparity,racePctWhite,racepctblack
0,0.00835106311138,-1.0,-1.0
1,0.00823910427242,-0.9,-1.0
2,0.00511172070428,-0.8,-1.0
3,-0.00355247173128,-0.7,-1.0
4,-0.00248406452526,-0.6,-1.0
5,-0.00252316126267,-0.5,-1.0
6,1.81266691641e-05,-0.4,-1.0
7,0.000482666994605,-0.3,-1.0
8,0.000696988200605,-0.2,-1.0
9,0.00248761877411,-0.1,-1.0
10,0.002559414601,0.0,-1.0
11,0.00234402712034,0.1,-1.0
12,0.00195021634713,0.2,-1.0
13,0.00166409931424,0.3,-1.0
14,0.00144871183359,0.4,-1.0
15,0.000732886114047,0.5,-1.0
16,0.00102006942159,0.6,-1.0
17,0.00109186524847,0.7,-1.0
18,0.00123545690224,0.8,-1.0
19,0.000877544042475,0.9,-1.0
20,0.00660059554994,-1.0,-0.9
21,0.00835106311138,-0.9,-0.9
22,0.00780832931111,-0.8,-0.9
23,0.00292088170962,-0.7,-0.9
24,-0.00226547822063,-0.6,-0.9
25,-0.00277231410745,-0.5,-0.9
26,-0.00062590322349,-0.4,-0.9
27,0.000626258648376,-0.3,-0.9
28,0.000303177427392,-0.2,-0.9
29,0.00195021634713,-0.1,-0.9
30,0.002559414601,0.0,-0.9
31,0.0018425226068,0.1,-0.9
32,0.00198611426057,0.2,-0.9
33,0.0016282014008,0.3,-0.9
34,0.00112669688726,0.4,-0.9
35,0.000876477767818,0.5,-0.9
36,0.00105596733503,0.6,-0.9
37,0.0011995589888,0.7,-0.9
38,0.00094933986936,0.8,-0.9
39,8.99224960495e-05,0.9,-0.9
40,0.00642323853204,-1.0,-0.8
41,0.00606319312295,-0.9,-0.8
42,0.00835106311138,-0.8,-0.8
43,0.00755704391701,-0.7,-0.8
44,0.000405895219322,-0.6,-0.8
45,-0.00212508539083,-0.5,-0.8
46,-0.00252316126267,-0.4,-0.8
47,-0.000125464984607,-0.3,-0.8
48,0.000339075340835,-0.2,-0.8
49,0.00202201217401,-0.1,-0.8
50,0.002559414601,0.0,-0.8
51,0.00173482886647,0.1,-0.8
52,0.0020938080009,0.2,-0.8
53,0.00159230348736,0.3,-0.8
54,0.000732886114047,0.4,-0.8
55,0.000948273594703,0.5,-0.8
56,0.0011995589888,0.6,-0.8
57,0.000913441955917,0.7,-0.8
58,8.99224960495e-05,0.8,-0.8
59,0.000341207890148,0.9,-0.8
60,0.00678328394112,-1.0,-0.7
61,0.00638840689325,-0.9,-0.7
62,0.00606319312295,-0.8,-0.7
63,0.00835106311138,-0.7,-0.7
64,0.00712520268104,-0.6,-0.7
65,-0.00329905378787,-0.5,-0.7
66,-0.00252102871335,-0.4,-0.7
67,-0.000160296623393,-0.3,-0.7
68,-1.88375189353e-05,-0.2,-0.7
69,0.00202201217401,-0.1,-0.7
70,0.002559414601,0.0,-0.7
71,0.00177072677991,0.1,-0.7
72,0.0020938080009,0.2,-0.7
73,0.000661090287162,0.3,-0.7
74,0.000948273594703,0.4,-0.7
75,0.00116366107536,0.5,-0.7
76,0.00134315064257,0.6,-0.7
77,8.99224960495e-05,0.7,-0.7
78,0.000377105803591,0.8,-0.7
79,9.09887707062e-05,0.9,-0.7
80,0.00782219088165,-1.0,-0.6
81,0.00789292043387,-0.9,-0.6
82,0.00649610063358,-0.8,-0.6
83,0.00617088686328,-0.7,-0.6
84,0.00835106311138,-0.6,-0.6
85,0.00712307013173,-0.5,-0.6
86,-0.00226547822063,-0.4,-0.6
87,-0.00252316126267,-0.3,-0.6
88,0.000626258648376,-0.2,-0.6
89,0.00155640557392,-0.1,-0.6
90,0.002559414601,0.0,-0.6
91,0.00191431843369,0.1,-0.6
92,0.0016282014008,0.2,-0.6
93,0.000732886114047,0.3,-0.6
94,0.00105596733503,0.4,-0.6
95,0.00123545690224,0.5,-0.6
96,8.99224960495e-05,0.6,-0.6
97,0.000377105803591,0.7,-0.6
