,gamma-disparity,racePctAsian,racePctWhite
0,-0.00984225352113,-1.0,-1.0
1,-0.00990704225352,-0.9,-1.0
2,-0.00970704225352,-0.8,-1.0
3,-0.00924225352113,-0.7,-1.0
4,-0.00917746478873,-0.6,-1.0
5,-0.00917746478873,-0.5,-1.0
6,-0.00871267605634,-0.4,-1.0
7,-0.00844788732394,-0.3,-1.0
8,-0.00651267605634,-0.2,-1.0
9,-0.00684225352113,-0.1,-1.0
10,-0.00530704225352,0.0,-1.0
11,-0.00297183098592,0.1,-1.0
12,-0.00183661971831,0.2,-1.0
13,-0.00183661971831,0.3,-1.0
14,-0.00063661971831,0.4,-1.0
15,-0.000571830985915,0.5,-1.0
16,0.000892957746479,0.6,-1.0
17,0.000892957746479,0.7,-1.0
18,0.00189295774648,0.8,-1.0
19,0.00189295774648,0.9,-1.0
20,-0.0103070422535,-1.0,-0.9
21,-0.00984225352113,-0.9,-0.9
22,-0.00990704225352,-0.8,-0.9
23,-0.00970704225352,-0.7,-0.9
24,-0.00917746478873,-0.6,-0.9
25,-0.00917746478873,-0.5,-0.9
26,-0.00871267605634,-0.4,-0.9
27,-0.00844788732394,-0.3,-0.9
28,-0.00651267605634,-0.2,-0.9
29,-0.00684225352113,-0.1,-0.9
30,-0.00530704225352,0.0,-0.9
31,-0.00297183098592,0.1,-0.9
32,-0.00183661971831,0.2,-0.9
33,-0.000571830985915,0.3,-0.9
34,-0.000571830985915,0.4,-0.9
35,0.000892957746479,0.5,-0.9
36,0.000892957746479,0.6,-0.9
37,0.00155774647887,0.7,-0.9
38,0.00189295774648,0.8,-0.9
39,0.00189295774648,0.9,-0.9
40,-0.0103070422535,-1.0,-0.8
41,-0.0103070422535,-0.9,-0.8
42,-0.00984225352113,-0.8,-0.8
43,-0.00990704225352,-0.7,-0.8
44,-0.00924225352113,-0.6,-0.8
45,-0.00917746478873,-0.5,-0.8
46,-0.00917746478873,-0.4,-0.8
47,-0.00871267605634,-0.3,-0.8
48,-0.00651267605634,-0.2,-0.8
49,-0.00684225352113,-0.1,-0.8
50,-0.00530704225352,0.0,-0.8
51,-0.00297183098592,0.1,-0.8
52,-0.00183661971831,0.2,-0.8
53,-0.00063661971831,0.3,-0.8
54,-0.000571830985915,0.4,-0.8
55,0.000892957746479,0.5,-0.8
56,0.000892957746479,0.6,-0.8
57,0.00189295774648,0.7,-0.8
58,0.00189295774648,0.8,-0.8
59,0.00275774647887,0.9,-0.8
60,-0.0114366197183,-1.0,-0.7
