,gamma-disparity,racePctWhite,racepctblack
0,0.000660379437391,-1.0,-1.0
1,1.08996964909e-05,-0.9,-1.0
2,-0.000990924580972,-0.8,-1.0
3,-0.00416723830836,-0.7,-1.0
4,-0.00500473781372,-0.6,-1.0
5,-0.00502191668319,-0.5,-1.0
6,-0.00507546736595,-0.4,-1.0
7,-0.00553242529384,-0.3,-1.0
8,-0.00559782347278,-0.2,-1.0
9,-0.00547970393581,-0.1,-1.0
10,-0.00563052256225,0.0,-1.0
11,-0.0053452348541,0.1,-1.0
12,-0.0061565513929,0.2,-1.0
13,-0.00594033458751,0.3,-1.0
14,-0.00598938322172,0.4,-1.0
15,-0.00625832138513,0.5,-1.0
16,-0.00636009137737,0.6,-1.0
17,-0.00567506914791,0.7,-1.0
18,-0.00530803371608,0.8,-1.0
19,-0.00544250279779,0.9,-1.0
20,0.00201123095248,-1.0,-0.9
21,0.000660379437391,-0.9,-0.9
22,-8.71975719267e-05,-0.8,-0.9
23,-0.00160403250858,-0.7,-0.9
24,-0.00444518056887,-0.6,-0.9
25,-0.00501741463464,-0.5,-0.9
26,-0.00516088781345,-0.4,-0.9
27,-0.005165389862,-0.3,-0.9
28,-0.00557329915568,-0.2,-0.9
29,-0.00565504687936,-0.1,-0.9
30,-0.00563052256225,0.0,-0.9
31,-0.00551240302528,0.1,-0.9
32,-0.00631554479171,0.2,-0.9
33,-0.00594850935988,0.3,-0.9
34,-0.00594850935988,0.4,-0.9
35,-0.00639279046684,0.5,-0.9
36,-0.00585041209146,0.6,-0.9
37,-0.00531620848845,0.7,-0.9
38,-0.00542615325305,0.8,-0.9
39,-0.00589495867712,0.9,-0.9
40,0.00270075523049,-1.0,-0.8
41,0.00200305618012,-0.9,-0.8
42,0.000660379437391,-0.8,-0.8
43,-0.000144420978504,-0.7,-0.8
44,-0.00223799202948,-0.6,-0.8
45,-0.00475582191886,-0.5,-0.8
46,-0.00502191668319,-0.4,-0.8
47,-0.00510816645543,-0.3,-0.8
48,-0.00556512438331,-0.2,-0.8
49,-0.00563869733462,-0.1,-0.8
50,-0.00563052256225,0.0,-0.8
51,-0.00553692734239,0.1,-0.8
52,-0.00612385230343,0.2,-0.8
53,-0.00595668413225,0.3,-0.8
54,-0.00625832138513,0.4,-0.8
55,-0.0063764409221,0.5,-0.8
56,-0.00531620848845,0.6,-0.8
57,-0.00543432802542,0.7,-0.8
58,-0.00589495867712,0.8,-0.8
59,-0.00633923978408,0.9,-0.8
60,0.00272978159615,-1.0,-0.7
61,0.0026398591001,-0.9,-0.7
62,0.0021702243513,-0.8,-0.7
63,0.000660379437391,-0.7,-0.7
64,-0.000189796888895,-0.6,-0.7
65,-0.00388112127547,-0.5,-0.7
66,-0.00496019122807,-0.4,-0.7
67,-0.00516906258582,-0.3,-0.7
68,-0.00569959346502,-0.2,-0.7
69,-0.00563869733462,-0.1,-0.7
70,-0.00563052256225,0.0,-0.7
71,-0.00552875257002,0.1,-0.7
72,-0.00595668413225,0.2,-0.7
73,-0.00594033458751,0.3,-0.7
74,-0.00654360909329,0.4,-0.7
75,-0.005491551432,0.5,-0.7
76,-0.00528350939897,0.6,-0.7
77,-0.00589495867712,0.7,-0.7
78,-0.00633106501171,0.8,-0.7
